Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/11/2019 00:00,33.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/11/2019 00:00,35.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/11/2019 00:00,36.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/11/2019 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/11/2019 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/11/2019 00:00,30.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/11/2019 00:00,29
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/11/2019 00:00,27.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/11/2019 00:00,30.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/11/2019 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/11/2019 00:00,30.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/11/2019 00:00,32.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/11/2019 00:00,29.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,19/11/2019 00:00,30.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/11/2019 00:00,29.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,21/11/2019 00:00,32.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/11/2019 00:00,30.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/11/2019 00:00,31.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/11/2019 00:00,31.9
