city,housecode_complete,house,location,time,temp,rh,dewpt
Neiva,NE1-in,NE1,in,2019-08-21 16:00:00,33.73,28.61,13.03
Neiva,NE1-in,NE1,in,2019-08-21 20:00:00,31.42,32.94,13.20
Neiva,NE1-in,NE1,in,2019-08-22 0:00:00,28.59,40.80,13.99
Neiva,NE1-in,NE1,in,2019-08-22 4:00:00,27.13,49.38,15.64
Neiva,NE1-in,NE1,in,2019-08-22 8:00:00,27.16,51.15,16.22
Neiva,NE1-in,NE1,in,2019-08-22 12:00:00,32.28,32.43,13.71
Neiva,NE1-in,NE1,in,2019-08-22 16:00:00,33.36,31.49,14.19
Neiva,NE1-in,NE1,in,2019-08-22 20:00:00,31.30,38.75,15.61
Neiva,NE1-in,NE1,in,2019-08-23 0:00:00,29.36,44.22,15.94
Neiva,NE1-in,NE1,in,2019-08-23 4:00:00,28.38,46.65,15.88
Neiva,NE1-in,NE1,in,2019-08-23 8:00:00,27.73,49.40,16.19
Neiva,NE1-in,NE1,in,2019-08-23 12:00:00,30.59,40.84,15.79
Neiva,NE1-in,NE1,in,2019-08-23 16:00:00,32.02,38.55,16.17
Neiva,NE1-in,NE1,in,2019-08-23 20:00:00,29.88,44.59,16.53
Neiva,NE1-in,NE1,in,2019-08-24 0:00:00,28.77,45.19,15.74
Neiva,NE1-in,NE1,in,2019-08-24 4:00:00,28.00,47.20,15.72
Neiva,NE1-in,NE1,in,2019-08-24 8:00:00,27.40,52.94,16.98
Neiva,NE1-in,NE1,in,2019-08-24 12:00:00,31.30,41.76,16.78
Neiva,NE1-in,NE1,in,2019-08-24 16:00:00,32.73,37.85,16.50
Neiva,NE1-in,NE1,in,2019-08-24 20:00:00,30.26,43.50,16.49
Neiva,NE1-in,NE1,in,2019-08-25 0:00:00,28.34,47.24,16.05
Neiva,NE1-in,NE1,in,2019-08-25 4:00:00,27.64,46.91,15.30
Neiva,NE1-in,NE1,in,2019-08-25 8:00:00,27.54,47.46,15.39
Neiva,NE1-in,NE1,in,2019-08-25 12:00:00,33.20,32.41,14.49
Neiva,NE1-in,NE1,in,2019-08-25 16:00:00,34.41,31.33,15.02
Neiva,NE1-in,NE1,in,2019-08-25 20:00:00,31.44,37.85,15.37
Neiva,NE1-in,NE1,in,2019-08-26 0:00:00,29.16,44.10,15.71
Neiva,NE1-in,NE1,in,2019-08-26 4:00:00,27.96,47.98,15.94
Neiva,NE1-in,NE1,in,2019-08-26 8:00:00,27.79,49.38,16.23
Neiva,NE1-in,NE1,in,2019-08-26 12:00:00,29.16,47.23,16.79
Neiva,NE1-in,NE1,in,2019-08-26 16:00:00,30.83,43.32,16.94
Neiva,NE1-in,NE1,in,2019-08-26 20:00:00,28.94,44.77,15.75
Neiva,NE1-in,NE1,in,2019-08-27 0:00:00,27.35,53.02,16.95
Neiva,NE1-in,NE1,in,2019-08-27 4:00:00,26.49,53.19,16.21
Neiva,NE1-in,NE1,in,2019-08-27 8:00:00,26.54,53.51,16.35
Neiva,NE1-in,NE1,in,2019-08-27 12:00:00,30.41,40.94,15.68
Neiva,NE1-in,NE1,in,2019-08-27 16:00:00,33.64,34.42,15.81
Neiva,NE1-in,NE1,in,2019-08-27 20:00:00,31.35,41.23,16.62
Neiva,NE1-in,NE1,in,2019-08-28 0:00:00,28.50,60.81,20.23
Neiva,NE1-in,NE1,in,2019-08-28 4:00:00,27.06,55.35,17.36
Neiva,NE1-in,NE1,in,2019-08-28 8:00:00,26.96,55.39,17.29
Neiva,NE1-in,NE1,in,2019-08-28 12:00:00,30.05,45.30,16.94
Neiva,NE1-in,NE1,in,2019-08-28 16:00:00,31.85,37.77,15.69
Neiva,NE1-in,NE1,in,2019-08-28 20:00:00,29.67,43.72,16.04
Neiva,NE1-in,NE1,in,2019-08-29 0:00:00,28.40,50.29,17.08
Neiva,NE1-in,NE1,in,2019-08-29 4:00:00,27.65,50.90,16.59
Neiva,NE1-in,NE1,in,2019-08-29 8:00:00,27.17,53.87,17.04
Neiva,NE1-in,NE1,in,2019-08-29 12:00:00,32.28,36.60,15.58
Neiva,NE1-in,NE1,in,2019-08-29 16:00:00,33.19,33.48,14.99
Neiva,NE1-in,NE1,in,2019-08-29 20:00:00,30.86,39.63,15.57
Neiva,NE1-in,NE1,in,2019-08-30 0:00:00,28.67,46.05,15.94
Neiva,NE1-in,NE1,in,2019-08-30 4:00:00,27.34,48.40,15.51
Neiva,NE1-in,NE1,in,2019-08-30 8:00:00,27.34,47.72,15.29
Neiva,NE1-in,NE1,in,2019-08-30 12:00:00,33.25,29.51,13.09
Neiva,NE1-in,NE1,in,2019-08-30 16:00:00,34.08,30.89,14.51
Neiva,NE1-in,NE1,in,2019-08-30 20:00:00,31.79,37.52,15.53
Neiva,NE1-in,NE1,in,2019-08-31 0:00:00,28.92,57.74,19.78
Neiva,NE1-in,NE1,in,2019-08-31 4:00:00,26.98,58.47,18.16
Neiva,NE1-in,NE1,in,2019-08-31 8:00:00,26.85,60.14,18.49
Neiva,NE1-in,NE1,in,2019-08-31 12:00:00,31.97,39.81,16.63
Neiva,NE1-in,NE1,in,2019-08-31 16:00:00,33.80,35.89,16.61
Neiva,NE1-in,NE1,in,2019-08-31 20:00:00,31.86,41.54,17.20
Neiva,NE1-in,NE1,in,2019-09-01 0:00:00,29.77,50.37,18.37
Neiva,NE1-in,NE1,in,2019-09-01 4:00:00,28.63,49.85,17.16
Neiva,NE1-in,NE1,in,2019-09-01 8:00:00,28.63,51.79,17.77
Neiva,NE1-in,NE1,in,2019-09-01 12:00:00,31.51,42.09,17.09
Neiva,NE1-in,NE1,in,2019-09-01 16:00:00,32.72,36.40,15.88
Neiva,NE1-in,NE1,in,2019-09-01 20:00:00,30.91,41.02,16.15
Neiva,NE1-in,NE1,in,2019-09-02 0:00:00,28.73,46.85,16.27
Neiva,NE1-in,NE1,in,2019-09-02 4:00:00,28.16,47.55,15.99
Neiva,NE1-in,NE1,in,2019-09-02 8:00:00,28.09,49.97,16.70
Neiva,NE1-in,NE1,in,2019-09-02 12:00:00,30.99,39.69,15.71
Neiva,NE1-in,NE1,in,2019-09-02 16:00:00,33.12,34.98,15.61
Neiva,NE1-in,NE1,in,2019-09-02 20:00:00,30.17,45.17,17.00
Neiva,NE1-in,NE1,in,2019-09-03 0:00:00,27.98,49.66,16.50
Neiva,NE1-in,NE1,in,2019-09-03 4:00:00,26.67,50.06,15.43
Neiva,NE1-in,NE1,in,2019-09-03 8:00:00,26.72,54.49,16.81
Neiva,NE1-in,NE1,in,2019-09-03 12:00:00,33.46,34.37,15.63
Neiva,NE1-in,NE1,in,2019-09-03 16:00:00,34.37,32.60,15.60
Neiva,NE1-in,NE1,in,2019-09-03 20:00:00,32.16,37.17,15.72
Neiva,NE1-in,NE1,in,2019-09-04 0:00:00,30.59,43.94,16.94
Neiva,NE1-in,NE1,in,2019-09-04 4:00:00,29.17,48.95,17.36
Neiva,NE1-in,NE1,in,2019-09-04 8:00:00,28.75,51.90,17.91
Neiva,NE1-in,NE1,in,2019-09-04 12:00:00,32.29,39.22,16.68
Neiva,NE1-in,NE1,in,2019-09-04 16:00:00,33.31,38.43,17.26
Neiva,NE1-in,NE1,in,2019-09-04 20:00:00,30.69,42.56,16.53
Neiva,NE1-in,NE1,in,2019-09-05 0:00:00,29.05,50.21,17.66
Neiva,NE1-in,NE1,in,2019-09-05 4:00:00,28.20,49.40,16.62
Neiva,NE1-in,NE1,in,2019-09-05 8:00:00,28.54,50.19,17.18
Neiva,NE1-in,NE1,in,2019-09-05 12:00:00,33.32,34.64,15.63
